protocol,load_mode,lambda_base,M,best_q,q,tuning_stable_fraction,mean_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction,mean_arrival_rate_pkt_s,mean_goodput_pkt_s,mean_completion_ratio,mean_backlog_slope_pkt_s,mean_final_backlog
s7_busy,fixed_packet,15,6,NaN,0.005,0,NaN,NaN,23100,1,587.666666666667,187.666666666667,0.178019091438573,413.713933713934,496.666666666667
s7_busy,fixed_packet,15,6,NaN,0.01,0,NaN,NaN,31941,1,587.666666666667,277.666666666667,0.330404168613511,321.060205060205,396.333333333333
s7_busy,fixed_packet,15,6,NaN,0.025,0,NaN,NaN,53949,1,587.666666666667,397.666666666667,0.573635530878265,199.242491242491,250.666666666667
s7_busy,fixed_packet,15,6,NaN,0.05,0,NaN,NaN,99309,1,587.666666666667,428,0.648933483283975,177.276109276109,206.333333333333
s7_busy,fixed_packet,15,6,NaN,0.1,0,NaN,NaN,256032,1,587.666666666667,352.666666666667,0.527832167056499,299.279883279883,277.666666666667
s7_busy,fixed_packet,15,6,NaN,0.2,0,NaN,NaN,627564,1,587.666666666667,45,0.0387710540859438,573.318625318626,595
s7_busy,fixed_packet,15,6,NaN,0.5,0,NaN,NaN,723513,1,587.666666666667,0,0,600.897652897653,681.333333333333
sb_cf,fixed_payload,5,6,0.01,0.0001,1,56537.1444007382,140603.166666667,1740,0,34.6666666666667,34,1,0.598880598880598,0
sb_cf,fixed_payload,5,6,0.01,0.0002,1,27852.7934391997,71383.1666666666,960,0,34.6666666666667,34.3333333333333,1,0.0171440171440163,0
sb_cf,fixed_payload,5,6,0.01,0.0005,1,11872.7037198912,36665.5,2293.33333333333,0,34.6666666666667,35,1,-0.0870680870680874,0
sb_cf,fixed_payload,5,6,0.01,0.001,1,6433.64304098679,17236.25,2115,0,34.6666666666667,35,1,-0.115264115264115,0
sb_cf,fixed_payload,5,6,0.01,0.002,1,4057.32978826729,9008,1735,0,34.6666666666667,35,1,-0.186732186732187,0
sb_cf,fixed_payload,5,6,0.01,0.005,1,2936.69738247863,10070.0833333333,10855,0,34.6666666666667,35,1,-0.523684523684524,0
sb_cf,fixed_payload,5,6,0.01,0.01,1,1856.22511169386,3838.24999999999,3498.33333333333,0,34.6666666666667,35,1,-0.164464164464164,0
sb_cb,fixed_payload,15,1,0.1,0.0005,1,16977.7931264325,50250.1666666666,1191.66666666667,0,595.666666666667,602.666666666667,1,-10.7782947782948,0
sb_cb,fixed_payload,15,1,0.1,0.001,1,7848.64606725427,22468.8333333333,1230,0,595.666666666667,597.666666666667,1,-3.46355146355146,0
sb_cb,fixed_payload,15,1,0.1,0.002,1,4095.44782524236,11760.9166666667,1365,0,595.666666666667,597,1,-1.24690124690125,0
sb_cb,fixed_payload,15,1,0.1,0.005,1,1787.91437468211,4447.83333333333,1165,0,595.666666666667,596,1,-0.201168201168201,0
sb_cb,fixed_payload,15,1,0.1,0.01,1,1115.64673323835,2574.33333333333,1378.33333333333,0,595.666666666667,595.666666666667,1,-0.276368276368276,0
sb_cb,fixed_payload,15,1,0.1,0.02,1,801.07925723508,1784.58333333333,2636.66666666667,0,595.666666666667,596,1,-0.223540223540224,0
sb_cb,fixed_payload,15,1,0.1,0.05,1,631.775477391725,1329.91666666667,4350,0,595.666666666667,595.666666666667,1,-0.211092211092211,0
sb_cb,fixed_payload,15,1,0.1,0.1,1,550.69802577265,1036,3970,0,595.666666666667,595.666666666667,1,-0.195712195712196,0
sb_cb,fixed_payload,15,1,0.1,0.2,0.666666666666667,558.055644790512,1182.625,215606.666666667,0.333333333333333,595.666666666667,461.333333333333,0.783494105037513,209.394125394125,134.666666666667
sb_cf,fixed_payload,15,4,0.002,0.0001,1,73839.1908146584,209944.416666667,16843.3333333333,0,135.333333333333,138.666666666667,1,5.28070528070528,0
sb_cf,fixed_payload,15,4,0.002,0.0002,1,34021.3298399157,105276.75,19146.6666666667,0,135.333333333333,138.666666666667,1,3.07616307616308,0
sb_cf,fixed_payload,15,4,0.002,0.0005,1,13309.167890799,38344.3333333333,21228.3333333333,0,135.333333333333,137,1,1.54812554812555,0
sb_cf,fixed_payload,15,4,0.002,0.001,1,7665.53777616818,20300.9166666667,27100,0,135.333333333333,136.333333333333,1,0.978444978444979,0
sb_cf,fixed_payload,15,4,0.002,0.002,1,4250.50541287335,11934.8333333333,27358.3333333333,0,135.333333333333,135.333333333333,1,-0.514712514712515,0
sb_cf,fixed_payload,15,4,0.002,0.005,0.333333333333333,1910.85365853659,4518.25,701950,0.666666666666667,135.333333333333,43.6666666666667,0.351598173515982,101.106277106277,98
sb_cf,fixed_payload,15,4,0.002,0.01,0,NaN,NaN,1019325,1,135.333333333333,11.3333333333333,0.0827250608272506,140.078088078088,138
